The probability labels are:
[[9.63780761e-01 3.62191945e-02]
 [9.94251490e-01 5.74853178e-03]
 [8.84477735e-01 1.15522236e-01]
 [9.66495991e-01 3.35039981e-02]
 [9.24826562e-01 7.51734376e-02]
 [9.58979487e-01 4.10204381e-02]
 [9.28713858e-01 7.12861568e-02]
 [9.26110208e-01 7.38897622e-02]
 [5.33679366e-01 4.66320634e-01]
 [9.92662787e-01 7.33719114e-03]
 [8.59983385e-01 1.40016675e-01]
 [9.87893045e-01 1.21069029e-02]
 [9.68819201e-01 3.11807767e-02]
 [9.17566836e-01 8.24331865e-02]
 [8.29456508e-01 1.70543477e-01]
 [9.92944419e-01 7.05554197e-03]
 [9.82455730e-01 1.75442491e-02]
 [8.11411619e-01 1.88588351e-01]
 [9.15511668e-01 8.44884068e-02]
 [9.55106318e-01 4.48936373e-02]
 [7.79419661e-01 2.20580339e-01]
 [8.44070673e-01 1.55929342e-01]
 [9.97034431e-01 2.96556833e-03]
 [9.71317291e-01 2.86827199e-02]
 [9.97265816e-01 2.73416075e-03]
 [7.04730690e-01 2.95269281e-01]
 [9.92213905e-01 7.78604485e-03]
 [9.54661727e-01 4.53382134e-02]
 [8.26886237e-01 1.73113793e-01]
 [9.94416714e-01 5.58332400e-03]
 [7.06912339e-01 2.93087661e-01]
 [7.71461189e-01 2.28538871e-01]
 [9.94219780e-01 5.78024331e-03]
 [8.67963552e-01 1.32036477e-01]
 [9.48590755e-01 5.14092781e-02]
 [9.83488023e-01 1.65120177e-02]
 [9.89580214e-01 1.04197441e-02]
 [9.72569227e-01 2.74307299e-02]
 [8.79841328e-01 1.20158710e-01]
 [8.57176960e-01 1.42823070e-01]
 [9.43949163e-01 5.60508780e-02]
 [6.34566069e-01 3.65433902e-01]
 [8.17546785e-01 1.82453245e-01]
 [7.57503092e-01 2.42496923e-01]
 [9.67360198e-01 3.26397829e-02]
 [8.04114759e-01 1.95885211e-01]
 [9.06164229e-01 9.38357040e-02]
 [9.89046276e-01 1.09536555e-02]
 [9.99571860e-01 4.28082887e-04]
 [8.55372548e-01 1.44627437e-01]
 [9.10084963e-01 8.99150595e-02]
 [9.47539926e-01 5.24600223e-02]
 [8.09411049e-01 1.90588966e-01]
 [8.96189392e-01 1.03810638e-01]
 [9.93468404e-01 6.53155288e-03]
 [9.38663840e-01 6.13361187e-02]
 [9.97739553e-01 2.26045796e-03]
 [8.06559980e-01 1.93439960e-01]
 [6.31510615e-01 3.68489355e-01]
 [7.30140150e-01 2.69859880e-01]
 [9.92433429e-01 7.56654842e-03]
 [9.96813715e-01 3.18626571e-03]
 [9.92768288e-01 7.23168161e-03]
 [9.73912358e-01 2.60876659e-02]
 [8.46275270e-01 1.53724760e-01]
 [9.49557006e-01 5.04430234e-02]
 [9.53889668e-01 4.61102687e-02]
 [9.68569815e-01 3.14301811e-02]
 [8.07545483e-01 1.92454576e-01]
