The probability labels are:
[[1.00000000e+00 1.55848379e-09]
 [1.00000000e+00 2.42501467e-15]
 [4.31181788e-01 5.68818212e-01]
 [9.99711692e-01 2.88259413e-04]
 [9.99999285e-01 7.47840602e-07]
 [9.99998569e-01 1.39264080e-06]
 [1.00000000e+00 5.39484102e-09]
 [9.88956869e-01 1.10431155e-02]
 [9.72614913e-08 9.99999881e-01]
 [9.99999404e-01 6.19367711e-07]
 [9.32011545e-01 6.79884776e-02]
 [9.99915600e-01 8.44066672e-05]
 [9.99904394e-01 9.55373616e-05]
 [6.27033487e-02 9.37296629e-01]
 [1.33326307e-01 8.66673768e-01]
 [1.00000000e+00 7.30483755e-15]
 [1.00000000e+00 7.28336499e-13]
 [8.16520929e-01 1.83479056e-01]
 [9.99344051e-01 6.55905111e-04]
 [1.00000000e+00 1.04790421e-09]
 [9.99921322e-01 7.86778401e-05]
 [8.35326612e-01 1.64673358e-01]
 [1.00000000e+00 7.57341478e-09]
 [1.00000000e+00 2.83792030e-08]
 [1.00000000e+00 8.68680507e-13]
 [1.49848685e-01 8.50151300e-01]
 [9.99999881e-01 1.22050380e-07]
 [1.00000000e+00 5.94533422e-10]
 [9.72872198e-01 2.71278173e-02]
 [1.00000000e+00 5.81059680e-12]
 [9.93170142e-01 6.82984525e-03]
 [7.41031542e-02 9.25896883e-01]
 [1.00000000e+00 4.77972349e-11]
 [3.37331742e-01 6.62668288e-01]
 [9.99960661e-01 3.93429618e-05]
 [8.50598991e-01 1.49400994e-01]
 [1.00000000e+00 1.29638278e-09]
 [1.00000000e+00 8.27217147e-13]
 [8.17161024e-01 1.82838991e-01]
 [7.41535798e-03 9.92584646e-01]
 [9.99125540e-01 8.74494377e-04]
 [3.61601869e-03 9.96384025e-01]
 [5.11478297e-02 9.48852122e-01]
 [4.79968206e-04 9.99520063e-01]
 [9.99848008e-01 1.51964472e-04]
 [9.98811245e-01 1.18881615e-03]
 [1.64264470e-01 8.35735559e-01]
 [1.00000000e+00 3.75193041e-13]
 [1.00000000e+00 2.93067930e-21]
 [7.02836225e-03 9.92971718e-01]
 [8.58965039e-01 1.41034946e-01]
 [1.00000000e+00 1.05588238e-11]
 [9.99970198e-01 2.97518836e-05]
 [9.97297704e-01 2.70234165e-03]
 [1.00000000e+00 4.53165866e-10]
 [1.00000000e+00 5.62759039e-09]
 [1.00000000e+00 1.61420391e-11]
 [9.85543430e-03 9.90144610e-01]
 [1.23271036e-07 9.99999881e-01]
 [2.51301557e-01 7.48698473e-01]
 [1.00000000e+00 6.65636947e-12]
 [1.00000000e+00 7.30607144e-13]
 [1.00000000e+00 2.78004408e-11]
 [1.00000000e+00 1.43443882e-10]
 [9.72811162e-01 2.71888115e-02]
 [9.99840617e-01 1.59346775e-04]
 [9.99622464e-01 3.77564516e-04]
 [9.98704314e-01 1.29571126e-03]
 [9.98984039e-01 1.01593137e-03]
 [9.97735500e-01 2.26454204e-03]
 [1.00000000e+00 1.43927804e-11]
 [1.00000000e+00 4.30624478e-18]
 [9.99996066e-01 3.96597261e-06]
 [2.48370234e-05 9.99975204e-01]
 [1.00000000e+00 6.80850070e-13]
 [5.94728768e-01 4.05271262e-01]
 [5.03718853e-03 9.94962811e-01]
 [6.93504116e-05 9.99930620e-01]
 [1.00000000e+00 3.13426463e-16]
 [8.62597883e-01 1.37402147e-01]
 [9.99994040e-01 5.99477562e-06]
 [9.77055967e-01 2.29439512e-02]
 [1.00000000e+00 3.05248916e-11]
 [9.99988794e-01 1.12040261e-05]
 [2.22337549e-05 9.99977708e-01]
 [9.99595582e-01 4.04373131e-04]
 [4.64996963e-04 9.99535084e-01]
 [9.99977946e-01 2.20446891e-05]
 [1.00000000e+00 9.35896497e-17]
 [1.13863251e-04 9.99886155e-01]
 [9.99996781e-01 3.23035056e-06]
 [9.95585680e-01 4.41433629e-03]
 [8.81344438e-01 1.18655629e-01]
 [9.99999523e-01 5.12665110e-07]
 [1.43515254e-05 9.99985695e-01]
 [1.63722876e-02 9.83627677e-01]
 [1.00000000e+00 7.01349756e-10]
 [1.16135761e-01 8.83864224e-01]
 [1.00000000e+00 1.75709740e-08]
 [1.00000000e+00 3.20591553e-10]
 [9.42299068e-01 5.77009469e-02]
 [3.77329206e-03 9.96226668e-01]
 [9.99999881e-01 9.48190646e-08]
 [9.99999404e-01 6.33649279e-07]
 [1.00000000e+00 1.76844546e-11]
 [9.99257743e-01 7.42235105e-04]
 [1.00000000e+00 7.63885843e-09]
 [2.18834648e-05 9.99978065e-01]
 [9.99999523e-01 4.93340792e-07]
 [9.99999881e-01 1.27805393e-07]
 [1.00000000e+00 9.18844861e-11]
 [9.99855042e-01 1.44984544e-04]
 [9.90397811e-01 9.60213877e-03]
 [9.99727905e-01 2.72053439e-04]
 [1.00000000e+00 5.31053335e-09]
 [9.99997020e-01 2.92155687e-06]
 [1.00000000e+00 7.91029395e-11]
 [9.97753680e-01 2.24632164e-03]
 [9.99944806e-01 5.52362508e-05]
 [1.00000000e+00 5.90755361e-11]
 [1.00000000e+00 3.21695622e-12]
