The probability labels are:
[[9.90508556e-01 9.49146785e-03]
 [9.99958634e-01 4.13684429e-05]
 [9.44421411e-01 5.55786192e-02]
 [9.99024868e-01 9.75078205e-04]
 [9.81821477e-01 1.81785580e-02]
 [9.99343336e-01 6.56636257e-04]
 [9.99822199e-01 1.77879585e-04]
 [2.79941350e-01 7.20058680e-01]
 [9.68878686e-01 3.11213527e-02]
 [9.99920607e-01 7.93725631e-05]
 [9.87075031e-01 1.29249375e-02]
 [9.98866558e-01 1.13343890e-03]
 [9.99766290e-01 2.33724524e-04]
 [9.96553659e-01 3.44633311e-03]
 [9.12111461e-01 8.78885612e-02]
 [9.98429477e-01 1.57054246e-03]
 [9.99762714e-01 2.37240005e-04]
 [9.99006212e-01 9.93813504e-04]
 [9.99198616e-01 8.01416289e-04]
 [9.99863267e-01 1.36762086e-04]
 [9.78348911e-01 2.16511246e-02]
 [9.97223854e-01 2.77621113e-03]
 [9.99943137e-01 5.68955475e-05]
 [9.99166250e-01 8.33750470e-04]
 [9.99612868e-01 3.87185370e-04]
 [9.97132063e-01 2.86794384e-03]
 [9.97694552e-01 2.30547297e-03]
 [9.99186575e-01 8.13476392e-04]
 [9.88805652e-01 1.11943344e-02]
 [9.99981165e-01 1.88204704e-05]
 [9.54294860e-01 4.57051657e-02]
 [9.67060506e-01 3.29394341e-02]
 [9.99493480e-01 5.06526558e-04]
 [9.98926461e-01 1.07347290e-03]
 [9.96174812e-01 3.82514880e-03]
 [9.93504763e-01 6.49516750e-03]
 [9.99914289e-01 8.57135237e-05]
 [9.99088883e-01 9.11070267e-04]
 [9.95652020e-01 4.34802845e-03]
 [9.89303350e-01 1.06966803e-02]
 [9.93772566e-01 6.22749887e-03]
 [9.96614277e-01 3.38571006e-03]
 [2.61926591e-01 7.38073409e-01]
 [9.87293720e-01 1.27062593e-02]
 [9.99722779e-01 2.77238723e-04]
 [9.98382449e-01 1.61759858e-03]
 [9.72042680e-01 2.79572550e-02]
 [9.96423900e-01 3.57603515e-03]
 [9.99975324e-01 2.46975505e-05]
 [9.76252735e-01 2.37471964e-02]
 [6.67776763e-01 3.32223207e-01]
 [9.99853611e-01 1.46343344e-04]
 [9.91730988e-01 8.26905202e-03]
 [9.99422550e-01 5.77507715e-04]
 [9.99635577e-01 3.64436826e-04]
 [9.99614120e-01 3.85797757e-04]
 [9.99179900e-01 8.20116547e-04]
 [9.89157915e-01 1.08420588e-02]
 [9.16797280e-01 8.32027346e-02]
 [9.96522903e-01 3.47710354e-03]
 [9.99938846e-01 6.11429859e-05]
 [9.99646068e-01 3.53971729e-04]
 [9.99763906e-01 2.36083361e-04]
 [9.99408603e-01 5.91426447e-04]
 [9.98933852e-01 1.06609857e-03]
 [9.99471366e-01 5.28607401e-04]
 [9.99289632e-01 7.10382941e-04]
 [9.98012543e-01 1.98744121e-03]
 [9.99442279e-01 5.57653024e-04]
 [9.99508381e-01 4.91602172e-04]
 [9.99800026e-01 1.99974573e-04]
 [9.99954343e-01 4.56872076e-05]
 [9.99399304e-01 6.00706437e-04]
 [8.74617517e-01 1.25382468e-01]
 [9.99921679e-01 7.82942589e-05]
 [9.99506354e-01 4.93683328e-04]
 [7.35792279e-01 2.64207721e-01]
 [9.88519371e-01 1.14806481e-02]
 [9.99904394e-01 9.55851137e-05]
 [8.38157415e-01 1.61842585e-01]
 [9.99574959e-01 4.25082108e-04]
 [9.99146819e-01 8.53120873e-04]
 [9.99566019e-01 4.33925452e-04]
 [9.84124482e-01 1.58755034e-02]
 [7.02557504e-01 2.97442466e-01]
 [9.98283923e-01 1.71606964e-03]
 [9.92781758e-01 7.21820584e-03]
 [9.98298943e-01 1.70103332e-03]
 [9.99949098e-01 5.08468984e-05]
 [9.85952377e-01 1.40476497e-02]
 [9.97815967e-01 2.18406506e-03]
 [9.99158144e-01 8.41918460e-04]
 [9.94242013e-01 5.75800799e-03]
 [9.99372423e-01 6.27553381e-04]
 [6.97371483e-01 3.02628517e-01]
 [9.84299779e-01 1.57002751e-02]
 [9.98939574e-01 1.06042414e-03]
 [9.83525753e-01 1.64742302e-02]
 [9.97803867e-01 2.19611498e-03]
 [9.99967694e-01 3.22713277e-05]
 [9.98526096e-01 1.47386792e-03]
 [9.26235437e-01 7.37645254e-02]
 [9.99626160e-01 3.73871735e-04]
 [9.98692214e-01 1.30774220e-03]
 [9.99688625e-01 3.11444368e-04]
 [9.99751985e-01 2.48028315e-04]
 [9.99670148e-01 3.29890987e-04]
 [9.84199047e-01 1.58010013e-02]
 [9.97438908e-01 2.56112684e-03]
 [9.99804914e-01 1.95130109e-04]
 [9.99524117e-01 4.75949841e-04]
 [9.99405622e-01 5.94366051e-04]
